"Part";"Value";"Device";"Package";"Description";"";
"ABXY";"ABXY";"ABXY";"ABXY";"";"";
"ADC1";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"ADC2";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"ADC3";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"BAT_THERM";"NTCG103JF103FT1";"RESISTOR.0402";"0402@1";"";"";
"C1";"2.2uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C2";"2.2uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"100pF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C4";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C5";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C6";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C7";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C8";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C9";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C10";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C11";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C12";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C14";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C17";"2.2uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C21";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C22";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C23";"100nF";"CAPACITOR.0402";"0402";"";"";
"C24";"10pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C25";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C26";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C27";"1uF 25V";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C28";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C29";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C30";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C32";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C33";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C34";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C35";"10pF";"C-EUC0603K";"C0603K";"CAPACITOR, European symbol";"";
"C36";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C37";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C39";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C40";"100nF";"C-EUC0402K";"C0402K";"CAPACITOR, European symbol";"";
"C41";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C42";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C43";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C44";"10uF";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"CN1";"LIPO BATTERY";"JST_2PIN-SMT-RA";"JST-PH-2-SMT-RA";"JST 2-Pin Connectors of various flavors";"";
"D1";"NSR0530HT1G";"DIODE-SCHOTTKY";"SOD-323";"";"";
"D2";"NSR0530HT1G";"NSR0530HT1G";"NSR0530HT1G";"";"";
"DPAD";"DPAD";"DPAD";"DPAD";"";"";
"FPC2";"FPC-40WAY0.5";"FPC-40WAY0.5";"FPC-0.5MM-40WAY";"";"";
"J1";"1X02PICOBLADE";"1X02PICOBLADE";"PICOBLADE_1.25MM_2P";"";"";
"J3";"1X02JST_SH";"1X02JST_SH";"JST_SH_1.0MM_2P";"";"";
"JOYSTICK";"FLIP_TYPE_0.5_5P";"FPC-05WAY0.5";"FPC-0.5MM-05WAY";"";"";
"JP1";"10-WAY";"10-WAY";"1X10_FEMALE_SMT_RIGHT_ANGLE";"Header 10";"";
"L1";"NRS5030T1R0NMGJ";"NRS5030";"NRS5030";"";"";
"L2";"NR4018T4R7M";"NR4018T4R7M";"NR4018";"";"";
"Q5";"DMN3023L";"MOSFET-NCHANNEL";"SOT23";"";"";
"R1";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R2";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R3";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R6";"47K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R7";"13.7R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R8";"20K";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R9";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R10";"1M";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R11";"1M";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R12";"430k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R13";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R17";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R18";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R19";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R20";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R21";"10k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R24";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R26";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R29";"100k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R36";"39k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R37";"4k7";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R38";"4k7";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R39";"1k";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"R40";"390R";"R-EU_R0603";"R0603";"RESISTOR, European symbol";"";
"RGB1";"LED_RGB_4P6028_REVERSE";"LED_RGB_4P6028_REVERSE";"LED-6028_REVERSE_RGB";"";"";
"RGB2";"LED_RGB_4P6028_REVERSE";"LED_RGB_4P6028_REVERSE";"LED-6028_REVERSE_RGB";"";"";
"SJ1";"";"SOLDERJUMPER";"SOLDERJUMPER_ARROW_NOPASTE";"SMD Solder JUMPER";"";
"STM32H750";"";"STM32H750VB";"LQFP-100";"";"";
"SWRESET";"LY-A03-02";"TACT_SWITCHLOWPROFILE";"TACT_RIGHT_ANGLE_LOW_PROFILE";"";"";
"U$3";"FCI 10118193-0001LF";"USBMICROB";"MICROB-USB";"";"";
"U$17";"FIDUCIAL1MM";"FIDUCIAL1MM";"FIDUCIAL-1MM";"2mm fiducial for pick and place";"";
"U$18";"HOME-MENU";"HOME-MENU";"MENU-HOME";"";"";
"U$19";"ABM8G-12.000MHZ-4Y-T3";"TSX-3225";"TSX-3225";"";"";
"U$22";"FIDUCIAL1MM";"FIDUCIAL1MM";"FIDUCIAL-1MM";"2mm fiducial for pick and place";"";
"U$23";"FIDUCIAL1MM";"FIDUCIAL1MM";"FIDUCIAL-1MM";"2mm fiducial for pick and place";"";
"U1";"SN74AHC1G02";"SN74AHC1G02";"SOT-23-5";"";"";
"U3";"AP3031KTR-G1 - ref 200mV";"AP30XX_OVP";"SOT23-6L";"";"";
"U4";"";"ACCEL_LIS3DHTR";"LGA16_3X3MM";"LIS3DHTR 3-Axis Accelerometer with I2C/SPI Interface";"";
"U5";"PAM8301";"PAM8301";"SOT-23-6";"";"";
"U6";"AP2112";"AP2112";"SOT-23-5";"";"";
"U8";"74VHC4053AFT";"74VHC4053AFT";"TSSOP-16-TI";"";"";
"U11";"BQ24295";"BQ24295";"QFN50P400X400X100-25N";"Stand-Alone Synchronous Switch-Mode";"";
"U22";"MT25QL256ABA1EW7-0SIT";"SPI_QUAD_FLASH";"DFN-8_6X5MM";"";"";
"USER_3V3_1";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"USER_3V3_2";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"USER_GND_1";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"USER_GND_2";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"USER_LEFT1";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"USER_LEFT2";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"USER_RIGHT1";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"USER_RIGHT2";"TPTP17SQ";"TPTP17SQ";"TP17SQ";"Test pad";"";
"X1";"MicroSD";"MICROSD";"MICROSD";"MicroSD/Transflash Card Holder with SPI pinout";"";
